Adv Roll No,SC
241113119,2077
244023132,2078
244015664,2079
242006092,2080
245006294,2081
246122115,2082
241112277,2083
247054175,2084
241101757,2085
241006009,2086
241134128,2087
242014394,2088
245010509,2089
241138010,2090
246201022,2091
242043468,2092
241143105,2093
247022229,2094
244025107,2095
245058089,2096
244015538,2097
246011058,2098
246048465,2099
241102374,2100
245029276,2101
241053291,2102
245064218,2103
241110353,2104
244036275,2105
246018132,2106
241109490,2107
244029204,2108
242009035,2109
246029184,2110
246044194,2111
246160216,2112
246053400,2113
247021049,2114
246011146,2115
242085046,2116
245065093,2117
241135710,2118
242087030,2119
245058127,2120
245057070,2121
241123017,2122
242088195,2123
241136066,2124
241033093,2125
242064088,2126
245067079,2127
241077072,2128
246153035,2129
244066072,2130
242024008,2131
242086040,2132
247053450,2133
245066158,2134
241110149,2135
241004311,2136
