Adv Roll No,ST
246163477,985
246141090,986
246198109,987
241050192,988
242068184,989
246163485,990
246149291,991
247004094,992
245032130,993
246163027,994
241053264,995
246141123,996
241041205,997
246103253,998
242050471,999
246029137,1000
242058437,1001
246160143,1002
246157224,1003
246156174,1004
246167061,1005
241049520,1006
242054073,1007
246175199,1008
242072420,1009
241068271,1010
246131086,1011
242069068,1012
242079121,1013
242055113,1014
242075649,1015
242020104,1016
247045050,1017
246160110,1018
246129298,1019
246176118,1020
242056034,1021
246151031,1022
241061046,1023
241108147,1024
246148023,1025
242014204,1026
246153399,1027
241068204,1028
242055356,1029
242036068,1030
242052336,1031
246029494,1032
241157139,1033
242088289,1034
246175240,1035
241108014,1036
247013008,1037
246149011,1038
242005335,1039
246163256,1040
246129092,1041
246162393,1042
247016038,1043
246158011,1044
242070013,1045
242021340,1046
246182030,1047
241104539,1048
246171011,1049
245013001,1050
243048094,1051
242008080,1052
246154460,1053
246124067,1054
246167315,1055
246023088,1056
246149566,1057
246156505,1058
246172081,1059
242058079,1060
243007061,1061
246160245,1062
241134501,1063
246148049,1064
246148093,1065
242040037,1066
242093258,1067
246134175,1068
246187015,1069
246191063,1070
242053333,1071
246196295,1072
242015198,1073
246162330,1074
246170018,1075
242048079,1076
241022246,1077
242058255,1078
241045221,1079
247043352,1080
246155054,1081
245056176,1082
241134539,1083
246192253,1084
243005003,1085
242069060,1086
242050427,1087
242077099,1088
246155129,1089
246138082,1090
246150168,1091
246159164,1092
242073494,1093
246153344,1094
246149121,1095
246153439,1096
246148047,1097
247042068,1098
246162355,1099
246157623,1100
242068173,1101
241107098,1102
246144012,1103
246118063,1104
242070005,1105
246141135,1106
242066035,1107
242092161,1108
247035440,1109
246159236,1110
247047249,1111
246149408,1112
246105124,1113
242049128,1114
241093021,1115
246162516,1116
246119184,1117
244009391,1118
246149394,1119
242049055,1120
246035319,1121
246158101,1122
245022316,1123
241109257,1124
245010306,1125
242073126,1126
247016046,1127
245028051,1128
246123056,1129
243005153,1130
243003020,1131
242056280,1132
243001086,1133
243004024,1134
244072093,1135
241002052,1136
247028015,1137
246138113,1138
246153157,1139
246151190,1140
246021190,1141
241056053,1142
245051100,1143
241153111,1144
246147035,1145
246156158,1146
242062058,1147
246162498,1148
241070482,1149
246148116,1150
246168156,1151
246017036,1152
242070157,1153
246144215,1154
242074046,1155
241139071,1156
247030085,1157
246197116,1158
242043612,1159
242016044,1160
244025019,1161
246124131,1162
246156295,1163
242063315,1164
241054003,1165
242060332,1166
245060066,1167
246127082,1168
247045165,1169
246019048,1170
246022202,1171
241042463,1172
242064279,1173
245023296,1174
246163121,1175
242090046,1176
246156503,1177
242056389,1178
246198002,1179
246206153,1180
242065328,1181
242064183,1182
246160502,1183
241119090,1184
242070112,1185
246175029,1186
242050226,1187
246158014,1188
246136039,1189
241048086,1190
241121095,1191
246150064,1192
246163591,1193
242054294,1194
247030201,1195
241056130,1196
242036214,1197
246171114,1198
242058442,1199
246182090,1200
246137023,1201
246139177,1202
246192368,1203
242043144,1204
246129211,1205
242018006,1206
243002171,1207
242045098,1208
246141032,1209
246162682,1210
242041306,1211
241124090,1212
246157291,1213
241137094,1214
241025024,1215
241118025,1216
244039207,1217
245063267,1218
241134419,1219
242036134,1220
243023121,1221
241134482,1222
245040025,1223
245060095,1224
246195196,1225
246149049,1226
245023090,1227
241049001,1228
242058292,1229
246153115,1230
246119006,1231
246173147,1232
243001066,1233
246144108,1234
246143070,1235
246051014,1236
246142098,1237
242057154,1238
245029398,1239
246130167,1240
247027150,1241
246129166,1242
246053266,1243
244028020,1244
247049012,1245
241140021,1246
242077142,1247
246155136,1248
241116055,1249
246022078,1250
246153318,1251
242075585,1252
242064048,1253
246055116,1254
245006055,1255
242065159,1256
242088204,1257
242014503,1258
245063129,1259
245029535,1260
246167072,1261
246192396,1262
246151029,1263
245029392,1264
242069317,1265
241070553,1266
242066155,1267
246153375,1268
241025157,1269
246196155,1270
243001020,1271
241134337,1272
242060205,1273
246143026,1274
246027476,1275
241070270,1276
245065323,1277
242036309,1278
246177053,1279
246139133,1280
241133212,1281
241003579,1282
246156516,1283
246159235,1284
244039229,1285
246129252,1286
246164058,1287
246158692,1288
241050123,1289
246146051,1290
242037081,1291
246175239,1292
242095090,1293
242014140,1294
243044073,1295
242043182,1296
246177021,1297
241050083,1298
243001115,1299
246120061,1300
246036107,1301
246149392,1302
242043027,1303
246154337,1304
242074182,1305
242075495,1306
246192269,1307
246138013,1308
241092116,1309
247026037,1310
246162170,1311
246157419,1312
244018101,1313
246160159,1314
241133549,1315
246183055,1316
246172181,1317
246158312,1318
247016105,1319
246022238,1320
242071006,1321
244043265,1322
245050020,1323
245022397,1324
246129086,1325
242063177,1326
246072030,1327
241040102,1328
246023003,1329
246119102,1330
246138036,1331
246189101,1332
246154425,1333
242042208,1334
242014437,1335
246140034,1336
246204026,1337
246172269,1338
246018036,1339
246146047,1340
242081237,1341
246123288,1342
241060074,1343
241048154,1344
242073264,1345
246149031,1346
246053091,1347
246163633,1348
246182119,1349
246159425,1350
242073215,1351
246162058,1352
245005384,1353
246153141,1354
242064187,1355
242072042,1356
241049185,1357
245041042,1358
246163316,1359
245029268,1360
246151004,1361
242053014,1362
243001180,1363
246188003,1364
246144230,1365
245004093,1366
241116157,1367
243001088,1368
242090074,1369
241131050,1370
242051185,1371
246182122,1372
242069246,1373
246131148,1374
245022218,1375
245044129,1376
246143095,1377
247014169,1378
246194094,1379
242065243,1380
246192087,1381
242034349,1382
243002098,1383
242068120,1384
243002117,1385
246196031,1386
246171344,1387
241151017,1388
246138126,1389
246159593,1390
245019032,1391
246175203,1392
246171050,1393
246149487,1394
241062034,1395
245023131,1396
242051062,1397
246056055,1398
242077258,1399
246195045,1400
246123328,1401
243007097,1402
246132020,1403
241102013,1404
246134174,1405
247004590,1406
241027005,1407
247038291,1408
242085105,1409
246175014,1410
243005162,1411
244055144,1412
246022057,1413
246131076,1414
242013284,1415
243021825,1416
246065069,1417
242060334,1418
246131147,1419
246153489,1420
246132086,1421
246136009,1422
246154467,1423
244001418,1424
245002104,1425
246149196,1426
242054191,1427
244014145,1428
241022206,1429
242019105,1430
242045451,1431
243045048,1432
245023367,1433
242073487,1434
241106204,1435
242045312,1436
246201058,1437
246153343,1438
245058121,1439
242073341,1440
246161393,1441
245015022,1442
242061108,1443
246174066,1444
246197009,1445
244059182,1446
241115093,1447
241039125,1448
241010060,1449
246196283,1450
246170045,1451
246133069,1452
246131009,1453
242082020,1454
245032123,1455
246173029,1456
247046242,1457
246049169,1458
246052288,1459
246052025,1460
246156228,1461
242051301,1462
246040148,1463
242043411,1464
246131070,1465
246157043,1466
246149525,1467
247014027,1468
247016044,1469
245020100,1470
244065396,1471
246134066,1472
243001107,1473
245033015,1474
246197087,1475
245022248,1476
243004053,1477
243001211,1478
245021057,1479
243046119,1480
243011312,1481
241118108,1482
246020038,1483
241066023,1484
241035043,1485
242093366,1486
242040165,1487
242041211,1488
243045009,1489
246161389,1490
246138085,1491
247026201,1492
246128052,1493
244025161,1494
243044094,1495
246120201,1496
246173026,1497
241064296,1498
247002164,1499
241112197,1500
241008159,1501
241134136,1502
246141064,1503
246187066,1504
246123219,1505
246178068,1506
246157565,1507
246120008,1508
241033066,1509
247025157,1510
242041394,1511
242037020,1512
242073355,1513
241043171,1514
246157330,1515
242014445,1516
247025234,1517
246173072,1518
242043424,1519
242058446,1520
246191099,1521
242073473,1522
242072398,1523
246160665,1524
241023105,1525
242100080,1526
242043562,1527
243001159,1528
246029055,1529
246141220,1530
246150217,1531
247003156,1532
246171092,1533
246162407,1534
241054046,1535
245057132,1536
246008020,1537
242003146,1538
246135237,1539
245044230,1540
245021011,1541
245026133,1542
246197195,1543
243003384,1544
244014170,1545
246163518,1546
245023052,1547
243001168,1548
245055064,1549
241025102,1550
241153265,1551
246053075,1552
242088347,1553
242038031,1554
246149584,1555
246119058,1556
241071318,1557
241092017,1558
246157335,1559
242062170,1560
242015274,1561
246140074,1562
246157406,1563
246158307,1564
241074122,1565
241048144,1566
246118158,1567
246149230,1568
242061055,1569
246171192,1570
246148101,1571
246118018,1572
245020074,1573
242026229,1574
246176112,1575
242054238,1576
242057179,1577
246171191,1578
246008186,1579
241070329,1580
246131207,1581
242084175,1582
246130176,1583
242050346,1584
246055078,1585
246202116,1586
241087205,1587
244026046,1588
243005031,1589
242059226,1590
246128083,1591
245023257,1592
246141023,1593
246147087,1594
246161131,1595
246127032,1596
246123302,1597
242073469,1598
243004427,1599
246086045,1600
241068067,1601
246150071,1602
242053097,1603
242067369,1604
242090150,1605
245035018,1606
242070133,1607
242073029,1608
241023031,1609
246158151,1610
246053438,1611
245039362,1612
244009457,1613
246158162,1614
246149588,1615
242100081,1616
246163447,1617
242016299,1618
242067095,1619
246154036,1620
241118075,1621
246128091,1622
246173024,1623
246149195,1624
241118081,1625
245020147,1626
246156486,1627
246035336,1628
246172022,1629
242056413,1630
246162473,1631
246129259,1632
246017132,1633
246140122,1634
246147077,1635
242073358,1636
241041052,1637
245023047,1638
246185105,1639
242074057,1640
246120051,1641
241120070,1642
246199010,1643
246153133,1644
246149427,1645
246151215,1646
242073303,1647
246156675,1648
241136248,1649
246124133,1650
245010422,1651
246149527,1652
246042141,1653
242086086,1654
246195051,1655
246149186,1656
241077113,1657
246165063,1658
247027026,1659
246048166,1660
245023126,1661
245020044,1662
243004436,1663
244077099,1664
245038265,1665
241063040,1666
246146042,1667
245005096,1668
241038388,1669
242050494,1670
246160174,1671
245039121,1672
241151001,1673
246160489,1674
243001124,1675
242056285,1676
246150131,1677
246034022,1678
247045343,1679
242060315,1680
247042590,1681
246158120,1682
241049675,1683
246119180,1684
242065076,1685
246121241,1686
241038292,1687
245052257,1688
242052115,1689
246122065,1690
246123128,1691
246141241,1692
246155002,1693
243003216,1694
246156130,1695
246121062,1696
246154268,1697
243005102,1698
242059098,1699
246129194,1700
242072294,1701
242062284,1702
246137043,1703
246177044,1704
243003130,1705
242073103,1706
244058100,1707
242071011,1708
245029113,1709
241055078,1710
242073160,1711
242075060,1712
246153470,1713
241121066,1714
246149025,1715
243049075,1716
246161320,1717
241134221,1718
246170064,1719
246161464,1720
246199083,1721
243001025,1722
243002041,1723
243001084,1724
242078178,1725
243005098,1726
241027003,1727
243005035,1728
244047174,1729
242065070,1730
242105089,1731
242043361,1732
244007014,1733
246181066,1734
246193057,1735
246126085,1736
246154329,1737
243052405,1738
246163373,1739
246130200,1740
247017048,1741
242066056,1742
246136103,1743
242100033,1744
241028106,1745
241037070,1746
246182068,1747
242075363,1748
241068260,1749
243046067,1750
242073497,1751
246155116,1752
246175043,1753
241066079,1754
246175026,1755
246154236,1756
246156037,1757
245006279,1758
242019563,1759
242065099,1760
242049113,1761
243001015,1762
242072268,1763
245018160,1764
242048054,1765
246177106,1766
242066092,1767
246032054,1768
241092096,1768
246036085,1770
242064294,1771
241082050,1772
246182127,1773
243004094,1774
246118066,1775
242018391,1776
241134243,1777
241123119,1778
244001041,1779
242083061,1780
242085070,1781
246140202,1782
242061052,1783
246053566,1784
246153277,1785
246181054,1786
246167473,1787
246193079,1788
246009049,1789
243005158,1790
241053405,1791
245049010,1792
244012001,1793
242039003,1794
244010203,1795
243002269,1796
245034037,1797
242036058,1798
242015122,1799
241134301,1800
245023051,1801
246199052,1802
243001029,1803
