Adv Roll No,CRL,SC
241007100,23723,746
244039164,23736,747
241059054,23755,748
247051442,23844,749
246065019,23876,750
244039320,23888,751
245053100,23906,752
241083021,23915,753
245068020,24031,754
242019230,24110,755
242009295,24123,756
246151154,24130,757
246159125,24147,758
241003457,24168,759
247019439,24189,760
241133245,24234,761
245053053,24248,762
246128065,24259,763
247043144,24294,764
241134175,24296,765
246142038,24305,766
246149172,24349,767
241033118,24374,768
246063242,24396,769
241082181,24408,770
241140010,24422,771
242022285,24434,772
246014123,24457,773
242093464,24464,774
247030021,24473,775
242052123,24478,776
245020410,24490,777
241049318,24497,778
247012122,24513,779
241049188,24539,780
241134389,24540,781
246170035,24552,782
242074168,24563,783
242021232,24574,784
241049648,24642,785
245065002,24662,786
244032018,24664,787
241153249,24669,788
242048068,24680,789
246149485,24686,790
246172064,24689,791
245016428,24806,792
244037130,24820,793
244071180,24827,794
245063232,24832,795
245064390,24833,796
242045207,24863,797
244003145,24910,798
242082318,24940,799
241103482,24950,800
245039221,24980,801
247033012,24983,802
243049022,24988,803
242079083,25006,804
246055210,25010,805
242055169,25021,806
244050139,25052,807
247038318,25120,808
242049180,25126,809
244001138,25132,810
242097156,25141,811
245053116,25144,812
247037006,25149,813
242084061,25159,814
242067306,25257,815
241101744,25260,816
246029204,25269,817
247009171,25292,818
244014165,25316,819
247053059,25321,820
241013052,25347,821
242035164,25375,822
242019142,25380,823
246022076,25481,824
242051435,25487,825
242015315,25507,826
242051201,25530,827
242084181,25537,828
244001131,25542,829
242021227,25568,830
244054263,25569,831
245023127,25604,832
241050157,25619,833
241043281,25638,834
245067078,25643,835
246157633,25647,836
246023094,25648,837
242008036,25653,838
246052153,25703,839
244010206,25736,840
241049257,25835,841
241108187,25837,842
244034075,25844,843
241075031,25859,844
241023225,25897,845
244034160,25898,846
246132053,25904,847
242023030,25919,848
241101639,25932,849
247018649,25944,850
