Adv Roll No,CRL,SC
255066063,28706,954
252085226,28711,955
254038025,28712,956
256045209,28717,957
255064044,28734,958
257029051,28741,959
251062122,28751,960
251096189,28758,961
251147071,28759,962
252077022,28795,963
254003353,28822,964
251141181,28829,965
254063106,28839,966
251143048,28853,967
251141283,28869,968
252067160,28892,969
253047064,28896,970
252081119,28897,971
251134064,28899,972
253022120,28917,973
252006282,28925,974
257040216,28963,975
257030167,28964,976
256179169,28969,977
256174076,28974,979
254037164,28987,980
251087054,28990,981
251117138,28993,982
256004294,29000,983
254044248,29032,984
253025360,29063,985
253034185,29067,986
254032081,29085,987
251112042,29104,988
252080178,29115,989
251133035,29132,990
252062109,29153,991
256028471,29162,992
255066307,29181,993
254063109,29256,994
252074022,29322,995
256177158,29346,996
251101271,29393,997
255026036,29420,998
256021078,29432,999
252080379,29436,1000
252056119,29437,1001
252084364,29451,1002
257014647,29453,1003
253049619,29515,1004
252103155,29545,1005
251143185,29598,1006
255061096,29601,1007
256042409,29602,1008
251057130,29621,1009
257043259,29629,1010
252077165,29697,1011
255066223,29704,1012
255059005,29712,1013
256132003,29723,1014
256166471,29728,1015
252031407,29745,1016
256128090,29770,1017
256051290,29809,1018
256166290,29818,1019
252079134,29874,1020
254002473,30023,1023
252050043,30032,1024
251128054,30037,1025
254022246,30045,1026
256159447,30054,1027
252059352,30068,1028
251007504,30072,1029
251142489,30112,1030
257045357,30116,1032
254034213,30137,1033
251118271,30167,1034
251146014,30186,1035
252102212,30209,1036
251117156,30229,1037
252032122,30352,1039
252051217,30367,1040
254004236,30382,1041
257054190,30412,1042
254052279,30427,1043
251083097,30430,1044
256043316,30459,1045
254034282,30463,1046
252005115,30467,1047
251118327,30485,1048
257045138,30520,1049
254065075,30525,1050
254050409,30529,1051
251120177,30538,1053
252047417,30549,1054
252101101,30550,1055
255066132,30577,1057
252006116,30589,1058
256164276,30607,1059
256039368,30645,1060
251104145,30653,1061
253021383,30681,1062
256166899,30702,1063
256178191,30715,1064
251153045,30749,1065
251070298,30765,1066
257020454,30813,1068
251108373,30863,1069
252103131,30876,1070
257020303,30892,1071
255053233,30912,1073
252033020,30921,1074
256141070,30937,1075
256171170,30979,1076
254057173,30983,1077
252102315,30985,1078
252006090,31002,1079
255058080,31047,1080
251058057,31051,1081
255047085,31108,1084
255030096,31126,1085
252048061,31173,1087
252064053,31181,1088
251114064,31190,1089
253004045,31217,1091
255017392,31218,1092
254033041,31228,1093
256111222,31254,1094
255016165,31261,1095
255070113,31304,1096
255036187,31305,1097
256073043,31306,1098
257030193,31311,1099
251007742,31318,1100
252005114,31327,1101
252015266,31328,1102
257041037,31343,1104
252040056,31347,1105
251110355,31396,1106
251140028,31420,1107
257020273,31428,1108
252084342,31464,1109
252031105,31482,1110
256174087,31491,1111
251091316,31499,1112
251139018,31504,1113
253002060,31524,1114
256044159,31528,1115
251120104,31541,1116
255055313,31557,1117
251120202,31572,1118
252077034,31576,1119
257015163,31657,1120
255063272,31677,1121
256028061,31681,1122
252104298,31701,1123
251011030,31710,1124
256095185,31716,1125
251044254,31724,1126
254031397,31810,1127
256172144,31827,1129
256127307,31852,1130
252004367,31860,1131
256024153,31890,1133
257026239,31920,1134
256106289,31938,1135
255070149,31944,1136
252010353,31968,1137
254032116,31986,1138
253049156,31989,1139
254004019,32031,1140
254023275,32040,1141
254055479,32070,1142
251089126,32072,1143
252022160,32090,1146
252009396,32105,1147
254012078,32107,1148
251014014,32109,1149
254039177,32112,1150
256032465,32121,1151
251121004,32135,1152
251043102,32142,1153
251071379,32145,1154
252084423,32172,1155
256183111,32180,1156
257049533,32181,1157
256061024,32187,1158
251122093,32191,1159
253015037,32231,1160
254026244,32249,1161
257019114,32254,1162
256175263,32281,1163
251058088,32284,1164
254035444,32297,1165
255067396,32317,1166
251047185,32327,1168
256046105,32361,1169
251091093,32365,1170
256048036,32396,1171
251110844,32450,1173
