Adv Roll No,SC
256095185,1125
251044254,1126
254031397,1127
257046095,1128
256172144,1129
256127307,1130
252004367,1131
251044249,1132
256024153,1133
257026239,1134
256106289,1135
255070149,1136
252010353,1137
254032116,1138
253049156,1139
254004019,1140
254023275,1141
254055479,1142
251089126,1143
254006253,1144
256031085,1145
252022160,1146
252009396,1147
254012078,1148
251014014,1149
254039177,1150
256032465,1151
251121004,1152
251043102,1153
251071379,1154
252084423,1155
256183111,1156
257049533,1157
256061024,1158
251122093,1159
253015037,1160
254026244,1161
257019114,1162
256175263,1163
251058088,1164
254035444,1165
255067396,1166
256055224,1167
251047185,1168
256046105,1169
251091093,1170
256048036,1171
251016175,1172
251110844,1173
254030032,1174
252045006,1175
252048369,1176
252067192,1177
252017108,1178
251119126,1179
255064503,1180
252076216,1181
255006411,1182
256178159,1183
257026366,1184
252010061,1185
252069229,1186
251127040,1187
254011386,1188
256102060,1189
252076081,1190
252098138,1191
255052052,1192
251082028,1193
251110118,1194
256151007,1195
256035179,1196
251004245,1197
256172210,1198
251143613,1199
254056235,1200
252003177,1201
251118343,1202
254050302,1203
257018116,1204
251110181,1205
256106122,1206
257006163,1207
256121204,1208
257006208,1209
256052014,1210
256147012,1211
256114141,1212
252085173,1213
256146454,1214
251139085,1215
252031145,1216
251145385,1217
252104315,1218
255055104,1219
255027124,1220
251125174,1221
255059072,1222
251117551,1223
252100112,1224
252035126,1225
253007080,1226
251097044,1227
251142150,1228
252083243,1229
252010393,1230
252053321,1231
252073336,1232
257043232,1233
252093269,1234
254043371,1235
253010007,1236
251008042,1237
255064237,1238
252002087,1239
251083069,1240
251117180,1241
251109395,1242
254016429,1243
256002062,1244
254027133,1245
255005287,1246
254034097,1247
252097060,1248
256130034,1249
255066395,1250
253025113,1251
251045049,1252
256130105,1253
251137106,1254
252074083,1255
257034189,1256
251121267,1257
251019049,1258
257046026,1259
252004406,1260
252004401,1261
256055220,1262
256182068,1263
255064337,1264
251018017,1265
257021038,1266
251125261,1267
251139074,1268
257044265,1269
252020206,1270
256048045,1271
257040025,1272
255067447,1273
256060187,1274
252009311,1275
251030138,1276
251146072,1277
251057158,1278
251049171,1279
256127139,1280
256042367,1281
256173042,1282
255066315,1283
251142290,1284
256047062,1285
251081091,1286
251070258,1287
251084054,1288
257020294,1289
251044324,1290
255021364,1291
254035256,1292
255066084,1293
251108382,1294
252060159,1295
254057225,1296
254023259,1297
257035031,1298
256060162,1299
251055066,1300
252009403,1301
251120126,1302
257029221,1303
255026055,1304
253049540,1305
252014162,1306
255053056,1307
251149065,1308
255031030,1309
251145140,1310
254035270,1311
257001042,1312
251111103,1313
255065122,1314
255018037,1315
257032026,1316
251003125,1317
257028352,1318
253030157,1319
252035028,1320
257023072,1321
255054027,1322
251055016,1323
251062012,1324
251003167,1325
256052151,1326
251143405,1327
256057164,1328
254042413,1329
256134123,1330
256021006,1331
254002199,1332
252010002,1333
256141118,1334
255038163,1335
251102110,1336
251061127,1337
252100415,1338
254034350,1339
252099245,1340
257023332,1341
251101441,1342
256040071,1343
255064376,1344
251137199,1345
251047203,1346
252053221,1347
252020391,1348
257050084,1349
257026339,1350
255069215,1351
255053045,1352
256028354,1353
255063563,1354
256167208,1355
256164059,1356
252078010,1357
251092289,1358
257014233,1359
256028358,1360
257016097,1361
252019372,1362
254052194,1363
251118196,1364
255015061,1365
251037116,1366
257039222,1367
253003483,1368
257028301,1369
256057383,1370
252093021,1371
253004155,1372
252035074,1373
255018330,1374
254018201,1375
251117272,1376
251111035,1377
253049260,1378
254016377,1379
252018127,1380
256057420,1381
252100029,1382
257018195,1383
252005161,1384
257018069,1385
252006182,1386
257004358,1387
256054016,1388
254002198,1389
252092278,1390
252057128,1391
256039082,1392
255069075,1393
251120145,1394
252077133,1395
256098048,1396
254036326,1397
251052100,1398
252050053,1399
251142365,1400
254005316,1401
255058242,1402
256061224,1403
252077024,1404
251143294,1405
251071197,1406
255059131,1407
252063188,1408
257026138,1409
252045107,1410
252073053,1411
251136127,1412
251110368,1413
251123229,1414
254042154,1415
252092013,1416
252005139,1417
252079372,1418
255058067,1419
256046110,1420
256053032,1421
255062016,1422
253022042,1423
252103229,1424
257038215,1425
256018088,1426
254022129,1427
257027062,1428
257009051,1429
252062179,1430
251015178,1431
251130363,1432
255064550,1433
251145015,1434
251018215,1435
257029109,1436
254041106,1437
256095239,1438
253020226,1439
251130079,1440
254006171,1441
251060050,1442
252019163,1443
252084301,1444
255052063,1445
256195204,1446
252019003,1447
256171187,1448
251122080,1449
251121204,1450
251049142,1451
251011016,1452
252083262,1453
251137020,1454
255067197,1455
254034372,1456
252097189,1457
252079273,1458
252010077,1459
256028428,1460
255058290,1461
253033225,1462
257020467,1463
256166055,1464
251130201,1465
251146103,1466
256053140,1467
251141156,1468
251097121,1469
257048073,1470
257024224,1471
252092088,1472
255052058,1473
256109404,1474
252004036,1475
255015201,1476
257027258,1477
255064537,1478
256035090,1479
252023084,1480
251072081,1481
252090132,1482
252047434,1483
252103364,1484
256056033,1485
253049575,1486
252014055,1487
256169601,1488
254014044,1489
257029294,1490
256039310,1491
257040217,1492
256165436,1493
254012081,1494
255017383,1495
256061273,1496
251089139,1497
257019057,1498
251109098,1499
252033074,1500
256121065,1501
251121060,1502
252023241,1503
252100088,1504
251115067,1505
251143439,1506
257006115,1507
256165456,1508
255065252,1509
256181047,1510
256057488,1511
251072354,1512
256022110,1513
256165460,1514
257055035,1515
251089104,1516
251120333,1517
257022108,1518
252083159,1519
252016500,1520
252102300,1521
255007505,1522
251067183,1523
255064074,1524
254002265,1525
256174266,1526
256059131,1527
251061128,1528
255017130,1529
254033364,1530
251125154,1531
